year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2013,3747.19846,1,1,2,1,7,2,88,1,1,2,1,1,2,0,1,2,1,1,1,2,1
2013,2469.34261,1,1,2,1,4,1,7,1,3,2,5,1,2,0,1,4,2,1,2,2,3
2013,2791.00956,2,1,2,1,5,1,6,1,1,2,1,2,2,0,1,4,2,1,1,2,2
2013,3885.21263,1,1,1,4,1,1,88,5,3,1,3,2,1,3,1,3,1,1,2,2,4
2013,38852.1263,1,1,1,4,1,1,88,5,3,1,3,2,2,0,1,4,2,0,0,2,4
2013,3961.44738,1,1,1,4,3,1,1,5,3,1,4,1,2,0,1,2,1,1,1,2,3
2013,1464.11354,2,1,2,1,6,5,3,1,1,2,1,1,2,0,1,4,2,0,0,1,1
2013,3855.14664,1,1,2,1,5,1,4,1,4,2,4,1,2,0,1,4,2,0,0,2,1
2013,3889.83756,2,1,2,1,6,3,3,0,3,2,4,2,1,1,1,2,1,0,0,2,5
2013,3344.67437,2,1,1,4,5,4,1,4,3,1,1,1,2,0,1,4,2,0,0,1,1
2013,4148.59008,2,1,2,1,5,1,5,0,1,2,3,2,2,0,1,4,2,1,2,2,4
2013,4148.59008,2,1,2,1,5,1,5,0,1,2,3,2,2,0,1,4,2,1,2,2,4
2013,1815.77641,2,3,2,3,6,4,5,4,3,1,3,2,2,0,1,4,2,0,0,2,1
2013,3380.93604,2,1,2,1,1,1,88,1,1,2,3,2,2,0,1,4,2,0,0,2,4
2013,2224.39775,2,2,2,2,5,2,6,1,3,2,3,1,2,0,1,4,2,0,0,2,1
2013,2131.82162,2,2,2,2,1,1,6,1,3,2,3,1,2,0,1,4,2,0,0,2,1
2013,1576.14461,1,1,2,1,7,3,7,0,1,2,4,2,2,0,1,2,1,0,0,2,3
2013,2552.06752,1,1,1,4,7,2,3,1,3,3,4,2,1,2,1,3,1,0,0,2,3
2013,3170.59304,2,1,1,4,5,1,88,5,3,1,4,1,1,1,1,2,1,0,0,2,1
2013,2789.01438,2,1,2,1,7,2,88,1,4,2,3,1,2,0,1,1,1,1,1,2,3
2013,2640.0932,1,1,2,1,5,2,6,1,3,2,4,1,1,3,1,3,1,1,2,2,3
2013,2482.32982,2,1,2,1,7,2,7,0,1,2,4,1,2,0,1,4,2,1,2,2,3
2013,4148.59008,2,1,2,1,5,2,7,0,1,2,4,1,2,0,1,4,2,0,0,2,3
2013,1612.94486,2,1,2,1,5,4,1,0,3,3,1,1,2,0,1,3,1,1,1,2,2
2013,1612.94486,2,1,2,1,5,4,1,0,3,3,1,2,2,0,1,4,2,1,1,2,1
2013,1612.94486,2,1,2,1,5,4,1,0,3,3,1,2,2,0,1,4,2,0,0,2,1
2013,1612.94486,2,1,2,1,5,4,1,0,3,3,1,2,2,0,1,4,2,0,0,2,1
2013,1612.94486,2,1,2,1,5,4,1,0,3,3,1,2,2,0,1,4,2,0,0,2,1
2013,1612.94486,2,1,2,1,5,4,1,0,3,3,1,2,2,0,1,4,2,0,0,2,1
2013,1612.94486,2,1,2,1,5,4,1,0,3,3,1,2,2,0,1,4,2,0,0,2,1
2013,1612.94486,2,1,2,1,5,4,1,0,3,3,1,2,2,0,1,4,2,0,0,2,1
2013,1612.94486,2,1,2,1,5,4,1,0,3,3,1,2,2,0,1,4,2,0,0,2,1
2013,1612.94486,2,1,2,1,5,4,1,0,3,3,1,2,2,0,1,4,2,0,0,2,1
2013,4286.71276,2,1,1,4,2,1,88,5,3,1,3,2,2,0,1,4,2,1,1,1,2
2013,3485.4225,2,1,1,4,5,1,3,4,3,1,5,1,2,0,1,4,2,0,0,2,3
2013,43293.3034,1,1,2,1,5,2,7,0,1,2,4,2,2,0,1,4,2,0,0,2,5
2013,3799.60173,1,1,2,1,5,2,7,0,1,2,4,2,2,0,1,4,2,0,0,2,3
2013,3680.42472,1,1,2,1,5,2,4,2,3,1,3,2,3,5,1,3,1,1,2,2,3
2013,2988.43588,2,1,2,1,6,4,88,1,3,2,4,1,3,5,2,5,3,0,0,2,3
2013,2988.43588,2,1,2,1,6,4,88,1,3,2,1,1,2,0,1,4,2,1,1,2,3
2013,34990.5926,2,1,2,1,6,2,7,0,3,2,4,2,2,0,1,4,2,1,1,2,5
2013,3402.21839,2,1,2,1,6,2,88,4,4,1,4,2,1,1,1,2,1,0,0,2,3
2013,3636.82114,1,2,2,2,6,1,88,5,1,1,3,2,2,0,1,4,2,0,0,2,1
2013,3644.58459,2,1,2,1,4,1,3,1,3,2,3,2,2,0,1,4,2,0,0,2,3
